,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
30455,US,"Overtly off-dry to sweet, but marked by high acidity and a bitterness that dries out the cherry-vanilla flavors, this blush will happily pair with cheeseburgers and buffalo wings.",Twin Valley White,83,5,California,California,California Other,,,Gallo Family Vineyards NV Twin Valley White Zinfandel (California),Zinfandel,Gallo Family Vineyards
30465,US,"Pretty simple, but gets the job done with a creamy texture and peach and oak flavors.",Twin Valley,83,5,California,California,California Other,,,Gallo Family Vineyards 2005 Twin Valley Chardonnay (California),Chardonnay,Gallo Family Vineyards
33381,Spain,"Raspberry and plum aromas lead to a jammy, pruny palate with no structure. Prune, raisin and carob flavors finish flaccid and not fresh.",Crianza,81,5,Levante,Utiel-Requena,,Michael Schachner,@wineschach,Viña Decana 2010 Crianza Tempranillo (Utiel-Requena),Tempranillo,Viña Decana
37951,US,"This wine has a deep-gold color, attractive baking-spice and buttered popcorn aromas, appealing apple and pear flavors and medium body. The texture is soft and easy and the acidity tastes low.",Organic Grapes,85,5,California,California,California Other,Jim Gordon,@gordone_cellars,Earth's Harvest 2014 Organic Grapes Chardonnay (California),Chardonnay,Earth's Harvest
41878,US,"This canned white is slightly dark in color, smells and tastes nicely fruity and has vanilla and cream accents. It's full-bodied, soft and smooth on the palate.",,85,5,California,California,California Other,Jim Gordon,@gordone_cellars,Mancan NV White (California),White Blend,Mancan
49624,Portugal,"A sweet, soft, clean wine, anonymous almost. Yes, there is freshness, lightness, but all the time the awkward, unbalancing sweetness pulls it down. Drink very chilled.",,82,5,Vinho Verde,,,Roger Voss,@vossroger,Lagosta 2008 White (Vinho Verde),Portuguese White,Lagosta
51514,US,"Sold in individual 375-ml pouches or 4-packs, this is a dry, clean wine with lots of acidity that brightens the creamy apricot, orange and peach flavors.",,85,5,California,California,California Other,,,House Band NV Chardonnay (California),Chardonnay,House Band
52258,Germany,"For only $5, this wine offers lemonade-style refreshment with a kick. It's simple, fruity and direct, with apple and citrus notes that provide a sweet and sour contrast to each other. Drink now.",,84,5,Mosel,,,Joe Czerwinski,@JoeCz,Landshut 2009 Riesling (Mosel),Riesling,Landshut
61356,Spain,"Gritty cherry and cranberry aromas and a bright red color announce a spunky, simple wine with little Cabernet character. Juicy and light-bodied, it conveys basic plum and cherry flavors.",Estate Bottled,83,5,Levante,Yecla,,Michael Schachner,@wineschach,Terrenal 2012 Estate Bottled Cabernet Sauvignon (Yecla),Cabernet Sauvignon,Terrenal
61361,Spain,"Light plum and red-berry aromas lead to a racy, fresh palate with little body or structure. Candied raspberry and plum flavors are fresh but don't change or improve on the finish.",Estate Bottled,83,5,Levante,Yecla,,Michael Schachner,@wineschach,Terrenal 2012 Estate Bottled Tempranillo (Yecla),Tempranillo,Terrenal
61933,Chile,"Big, awkward aromas of red fruit and oak are followed by simple berry and plum flavors and even more overt oak. The finish is big and warm, while late in the game the wine turns tangy. This is one of many mass-market Merlots with few glaring faults; but still it fights to rise above basic acceptability.",Gato Negro,82,5,Lontué Valley,,,Michael Schachner,@wineschach,San Pedro 2002 Gato Negro Merlot (Lontué Valley),Merlot,San Pedro
62072,Chile,"More than decent; this is good SB with no bells and whistles but lots of straight-ahead competence. The nose is dusty and plump, while the palate has roundness, weight and likable citrus, green melon and other common, fresh flavors. Sometimes the basics are more than enough; this is a casein point.",Reserva,87,5,Aconcagua Valley,,,Michael Schachner,@wineschach,In Situ 2008 Reserva Sauvignon Blanc (Aconcagua Valley),Sauvignon Blanc,In Situ
69658,US,"This easy-to-drink wine combines a lightly oaky aroma with good but light fruit flavors and savory accents. It's dry and well balanced, with a smooth mouthfeel.",,86,5,California,California,California Other,Jim Gordon,@gordone_cellars,Earth's Harvest 2013 Merlot (California),Merlot,Earth's Harvest
77709,Australia,"Tropical—the flavors are reminiscent of mango and guava—but lacking in intensity. It's cleanly made, showing just a hint of warmth on the finish.",,83,5,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,Kelly's Revenge 2006 Chardonnay (South Eastern Australia),Chardonnay,Kelly's Revenge
77718,Australia,"Possibly a little sweet, this is a soft, easygoing Chardonnay marked by clean, modest pear and melon flavors.",,83,5,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,Banrock Station 2006 Chardonnay (South Eastern Australia),Chardonnay,Banrock Station
86292,US,"Sweet and simple, with jammy orange, apricot, apple and honeysuckle flavors that finish in a spicy swirl of cloves. Balanced with crisp acidity.",Twin Valley,84,5,California,California,California Other,,,Gallo Family Vineyards NV Twin Valley Moscato (California),Moscato,Gallo Family Vineyards
91962,Portugal,"Bright, crisp raspberry flavors on a bone-dry wine. It is fresh and vibrant, a light touch of caramel and powerful acidity.",,84,5,Vinho Verde,,,Roger Voss,@vossroger,Campelo 2009 Rosé (Vinho Verde),Rosé,Campelo
100469,Australia,"This bargain-basement Australian is oddly lacking in fruit, offering up herbaceous and pine scents instead. Flavor is likewise scarce on the crisp palate and the short finish. No tannins in sight.",,81,5,Australia Other,South Eastern Australia,,,,Banrock Station 2006 Shiraz-Cabernet Sauvignon (South Eastern Australia),Shiraz-Cabernet Sauvignon,Banrock Station
102752,South Africa,Sweet aromas and flavors of peach and lychee are accented by a hint of fresh rose petals. A soft spritz in the mouth cleans up the finish. Drink now.,,83,5,Western Cape,,,Lauren Buzzeo,@laurbuzz,Chaza NV Moscato (Western Cape),Moscato,Chaza
102853,Italy,"Definitely not Zinfandel-like, despite its Primitivo origins; a rather nondescript wine, as a matter of fact. Light cherry overtones are noted on the nose and palate. The tannins are mouth-drying. This is certainly not a good example of how far Puglia has come with this grape. However, it would work fine with a slice or two of pizza.",,83,5,Southern Italy,Puglia,,,,Terrale 1998 Primitivo (Puglia),Primitivo,Terrale
102859,Italy,"Terrale translates as “product of the earth,” and that’s about all one can say about this wine. The grapes used are Catarrato, a white variety indigenous to Sicily, and the ubiquitous Trebbiano. A light apple nose starts it off, and the structure is good, with adequate acids. However, the finish is short and lacks flavor.",Bianco,82,5,Sicily & Sardinia,Sicilia,,,,Terrale 1998 Bianco White (Sicilia),White Blend,Terrale
102861,Italy,"A thin peach nose is the initial impression, followed by good balance on the palate and a decent mouthfeel. Then comes the finish, however, where we detect signs of early oxidation",,81,5,Lombardy,Oltrepò Pavese,,,,Belmondo 1999 Pinot Grigio (Oltrepò Pavese),Pinot Grigio,Belmondo
104412,US,"This sparkling wine is the best of ManCan's three new canned offerings. It has plenty of rich fruit flavors and a buttery note. Lively bubbles settle into the smooth, creamy texture, leaving an overall impression of easygoing enjoyment.",Fizz,87,5,California,California,California Other,Jim Gordon,@gordone_cellars,Mancan NV Fizz Sparkling (California),Sparkling Blend,Mancan
105918,France,"Smells a little warm with notes of stewed red berries and brandied cherries. Lightweight with medium acidity and virtually no tannins—this is an easy-to-drink option; given the Tetra-pak packaging, a great choice for concerts, camping and picnics.",,83,5,Languedoc-Roussillon,Vin de Pays d'Oc,,Lauren Buzzeo,@laurbuzz,French Rabbit 2007 Pinot Noir (Vin de Pays d'Oc),Pinot Noir,French Rabbit
111197,Spain,"Full and minty, and quite the bargain at five bucks. This bargain buster features some cherry liqueur and sucking-candy flavors, while the finish is not devoid of some class, as it offers coffee and chocolate notes. Yes, it's a bit like cherry soda without the bubbles, but what's not to like at this price, especially if the menu calls for burgers or London broil? If Two Buck Chuck is so popular, try giving this wine “hug,” the English translation for abrazo. Best Buy.",,84,5,Northern Spain,Cariñena,,Michael Schachner,@wineschach,Abrazo 2001 Garnacha (Cariñena),Garnacha,Abrazo
112376,US,"Sold in individual 375-ml pouches or 4-packs. The Merlot is overripe and Porty, with a sweet prune flavor.",,81,5,California,California,California Other,,,House Band NV Merlot (California),Merlot,House Band
112639,Argentina,"For a $5 wine, it offers pretty good red berry aromas along with a decent mouthfeel and proper acidity. The palate pops with red plum and raspberry flavors along with mild stalky, brambly notes that are more in the background than up front. Not overwhelming but doesn't disappoint.",,84,5,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Zamarro 2009 Malbec-Bonarda (Mendoza),Malbec-Bonarda,Zamarro
118904,Portugal,"The wine—perhaps named in honor of Homer Simpson (Doh!)—is soft, light and freshly fruity. It has an attractive final core of tannin and acidity.",D'Ó,84,5,Portuguese Table Wine,,,Roger Voss,@vossroger,Adega Cooperativa da Batalha NV D'Ó Red (Portuguese Table Wine),Portuguese Red,Adega Cooperativa da Batalha
122407,France,"This blend of Sauvignon Blanc and Grenache Blanc is light and fresh. Gently fruity, hinting at herbs and citrus and with an easy, open texture, it is a soft quaffing wine. The aftertaste is lightly sweet.",,84,5,France Other,Vin de France,,Roger Voss,@vossroger,Belle Made For You NV White (Vin de France),White Blend,Belle Made For You
124218,Portugal,"This is a full-bodied and very ripe wine. It is dry, but has layers of sweet fruits, gentle tannins and suggestions of the wood aging. With spice, some herbal character and great fruitiness, it's ready to drink.",Toutalga Tinto,85,5,Alentejano,,,Roger Voss,@vossroger,Herdade dos Machados 2011 Toutalga Tinto Red (Alentejano),Portuguese Red,Herdade dos Machados
124578,Portugal,"They say red Vinho Verde is an acquired taste, and with its very tight tannins and acidity, this wine fits the billing. Think of it with sardines or fatty meats.",Tinto,83,5,Vinho Verde,,,Roger Voss,@vossroger,Campelo 2009 Tinto Red (Vinho Verde),Portuguese Red,Campelo
125826,Argentina,"While this smells floral and candied, the palate rages, courtesy of strapping acidity that creates tart plum and blueberry flavors.",,80,5,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Toca Diamonte 2010 Malbec (Mendoza),Malbec,Toca Diamonte
126010,US,"Really? A five-buck Oregon Riesling? It's light, lemony and tart, but it's real wine, simple and plain, yet fine with shellfish or other light seafood.",,84,5,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Rascal 2013 Riesling (Willamette Valley),Riesling,Rascal
129389,Australia,"Banrock Station's 2006 Shiraz is a throwback to the kind of super value Australian wines used to provide with more regularity. For $5, consumers get a decently textured, supple wine with plenty of forward blueberry and plum fruit and touches of chocolate and pepper. Look for it by the glass or buy it by the case for entertaining on a budget.",,85,5,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,Banrock Station 2006 Shiraz (South Eastern Australia),Shiraz,Banrock Station
1620,Portugal,"The very local Tamarez grapes make an appearance in this lemon-colored and flavored wine. It is fruity, soft and bright with acidity. Drink now.",Brado Branco,85,6,Alentejano,,,Roger Voss,@vossroger,Adega Cooperativa de Borba 2016 Brado Branco White (Alentejano),Portuguese White,Adega Cooperativa de Borba
2335,US,"Reserved aromas of spice, pear and lychee are followed by medium-sweet flavors. Pair it with yellow curry.",,85,6,Washington,Washington,Washington Other,Sean P. Sullivan,@wawinereport,Two Vines 2014 Gewürztraminer (Washington),Gewürztraminer,Two Vines
2618,Argentina,"Lightly brambled and ever so slightly green, with pleasant strawberry and raspberry aromas. The mouthfeel is a touch choppy and grabby, but it's not too thin and rough to make it unpleasant. Not bad for the price.",,83,6,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Funky Llama 2007 Tempranillo (Mendoza),Tempranillo,Funky Llama
3948,Portugal,"Soft, sweet raspberry fruit-flavored wine. It has a line of acidity while its main character is the light, sweet aftertaste. Screwcap.",Coreto,83,6,Lisboa,,,Roger Voss,@vossroger,DFJ Vinhos 2010 Coreto Rosé (Lisboa),Rosé,DFJ Vinhos
5152,Spain,"A steal for six bucks; the nose is floral and black, but under control. Meanwhile, the palate is bouncy, round and balanced, with juicy black plum and wild berry flavors. Clean and solid.",Viña Borgia,87,6,Northern Spain,Campo de Borja,,Michael Schachner,@wineschach,Borsao 2009 Viña Borgia Grenache (Campo de Borja),Grenache,Borsao
5794,France,"Mouthwatering acidity combines with a sweet aftertaste to give a wine that could be unbalanced but, surprisingly, has an attractive soft texture and easygoing fruitiness. Drink immediately.",,83,6,France Other,Vin de France,,Roger Voss,@vossroger,Le Pépin 2015 Sauvignon Blanc (Vin de France),Sauvignon Blanc,Le Pépin
5896,Argentina,"A sweet-styled Cabernet with raisin, black cherry and baked plum aromas. The feel is clacky and unsophisticated, and the flavors blend candied currant, prune and sugar. Grabby as well.",,82,6,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Ambiente 2009 Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Ambiente
7044,Portugal,"With a light prickle on the tongue, this is a fresh and fruity wine that has sweetness balanced by a citric edge. It's crisp and ready to drink.",Casal da Seara,84,6,Vinho Verde,,,Roger Voss,@vossroger,Campelo 2014 Casal da Seara White (Vinho Verde),Portuguese White,Campelo
7498,Argentina,"Lightly tropical, with peach, citrus and pineapple aromas. The palate offers mostly sharp citrus flavors of lime and orange, and the finish holds onto that theme.",,83,6,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Funky Llama 2007 Sauvignon Blanc (Mendoza),Sauvignon Blanc,Funky Llama
7595,Chile,"Mushroom and charcoal dot the nose, but with that comes just a modicum of fruit. The palate is a bit bland even if it's far from offensive, and so is the finish. Some wines don't offend while they fail to impress. This is an example of that type of wine.",,83,6,Central Valley,,,Michael Schachner,@wineschach,Calama 2001 Cabernet Sauvignon (Central Valley),Cabernet Sauvignon,Calama
7596,Chile,"Tight and oaky in the nose, with some funky green notes. The palate is a bit herbal and mildly vegetal, but there's also some cherry fruit and spice. The texture on the finish is the high point, but the vegetal flavor at the wine's core is a sore point.",Estate Bottled,83,6,Maipo Valley,,,Michael Schachner,@wineschach,Casa Rivas 2001 Estate Bottled Carmenère (Maipo Valley),Carmenère,Casa Rivas
7611,Portugal,"A light spritz gives this wine some of the character of club soda and lime, with a slight brinyness to add interest.",Casal Garcia,82,6,Vinho Verde,,,Joe Czerwinski,@JoeCz,Quinta da Aveleda NV Casal Garcia White (Vinho Verde),White Blend,Quinta da Aveleda
7668,Spain,"Shows dark fruit aromas and raisin on the nose, feels fresh, zesty and edgy, with a bright mix of cherry, berry and mild spice flavors. Feels pretty good and offers a reasonably solid and long finish for a $6 red.",Opera Prima,85,6,Central Spain,La Mancha,,Michael Schachner,@wineschach,J. Garcia Carrion 2010 Opera Prima Tempranillo (La Mancha),Tempranillo,J. Garcia Carrion
10209,US,"One of the first 1999 Cabs on the market, this wine smells and tastes like the grapes were crushed yesterday. This is what middleweight Cabernet Sauvignon sans oak tastes like: all fresh blackberries and cherries, with undercurrants of espresso and sweet spice. A remarkably tasty wine that should be easy to find: There were 65,000 cases produced.",,86,6,California,California,California Other,,,Bel Arbor 1999 Cabernet Sauvignon (California),Cabernet Sauvignon,Bel Arbor
10223,Spain,"Starts out with some earthy, toasty and minerally aromas, with a streak of minty anise. This is a very full-bodied wine, loaded with earthy, mushroomy flavors, like biting into a heaping handful of mulch. It's also very dry, clean and organized enough to call a good value.",Blanc de Blancs Brut,85,6,Catalonia,Penedès,,,,Paul Cheneau NV Blanc de Blancs Brut Chardonnay (Penedès),Chardonnay,Paul Cheneau
11598,US,"With an orange-pink color, this is really a rosé wine. It's sweet and sugary, with raspberry and watermelon flavors that are balanced by cleansing acids.",Willow Springs White,83,6,California,California,California Other,,,CK Mondavi 2012 Willow Springs White Zinfandel (California),Zinfandel,CK Mondavi
14073,Argentina,"Not bad on the nose, where you get some tropicality, buttercup and flower blossom. But once you get onto the palate things go south. The acidity is high, creating tangy, lemony flavors, and all totaled there's not much here besides generic citrus and water.",,82,6,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Funky Llama 2009 Sauvignon Blanc (Mendoza),Sauvignon Blanc,Funky Llama
14081,Argentina,"Jammy and murky smelling, and lacking clarity and zap on the nose. Surprisingly, the palate is jacked up with acidity, and thus it's sharp in the mouth and strained. Flavors of red fruits are made creamy by forced oak, yielding a milk chocolate note to the finish.",,82,6,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Funky Llama 2009 Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Funky Llama
14409,Portugal,"This is a structured wine, probably because of the Touriga Nacional in the blend. That also gives a perfumed edge to this ripe, full wine with its juicy red fruit acidity. It is fruity and will be ready to drink from late 2016.",Casaleiro Colheita Seleccionada,86,6,Tejo,,,Roger Voss,@vossroger,Caves Velhas 2015 Casaleiro Colheita Seleccionada Red (Tejo),Portuguese Red,Caves Velhas
14471,US,"A straightforward wine, this has aromas of light spices and stone fruit. The flavors are lighter in style with the concentration a bit wanting but it still provides easy drinking pleasure.",,84,6,Washington,Washington,Washington Other,Sean P. Sullivan,@wawinereport,Two Vines 2013 Chardonnay (Washington),Chardonnay,Two Vines
14474,Italy,"This is an informal wine that offers hints of raw red cherry, strawberry and a dash of cinnamon. Brisk acidity and fragile, fleeting tannins give it an abrupt finish.",,84,6,Tuscany,Chianti,,Kerin O’Keefe,@kerinokeefe,Artimino 2013  Chianti,Red Blend,Artimino
15088,Italy,"Here's a Kosher, sweet white wine from Puglia that opens with playful aromas of spring flower, honeysuckle, almond blossom and lemon mousse. The wine feels and tastes similar to Moscato d'Asti, but is a hair sweeter.",Sara Bee,84,6,Southern Italy,Puglia,,,,Santero NV Sara Bee Moscato (Puglia),Moscato,Santero
19129,US,"A ripe, almost thick, peach-laden wine with big, rich fruit and lots of punch.",,87,6,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Kiona 1998 Chenin Blanc (Columbia Valley (WA)),Chenin Blanc,Kiona
19438,Spain,"Big boysenberry aromas are lively, a bit minty and fresh, while the extracted palate has a fruit-driven personality, ample tannins and dark wild-berry flavors. Young, bouncy and tangy on the finish. Composed for a young, inexpensive red.",,85,6,Central Spain,La Mancha,,Michael Schachner,@wineschach,Venta Morales 2008 Tempranillo (La Mancha),Tempranillo,Venta Morales
19480,Italy,"Here's a thin, lean and easy-to-drink Sangiovese with a pretty aromatic ensemble of spice, blueberry and roasted nut.",Tegole,85,6,Tuscany,Toscana,,,,Piccini 2004 Tegole Sangiovese (Toscana),Sangiovese,Piccini
24679,Spain,"Floral, sweet and not the least bit complicated or strained. This is easygoing red wine for easy times. It's a bit candied and baked, but that's Garnacha from Central Spain. Decently balanced and sturdy, especially given the price tag.",,85,6,Northern Spain,Campo de Borja,,Michael Schachner,@wineschach,Viña Borgia 2008 Grenache (Campo de Borja),Grenache,Viña Borgia
25897,Portugal,This wine comes from the heart of the Dão region. It is firm and dark with tannins and a concentrated texture. Fine acidity cuts through the black-fruit character. The wine is ready to drink.,Vinha do Poeta,87,6,Dão,,,Roger Voss,@vossroger,Caves da Montanha 2010 Vinha do Poeta Red (Dão),Portuguese Red,Caves da Montanha
28453,US,"Gassy and bubblegummy, like cheap Beaujolais, with candied raspberries and cherries.",,82,6,California,California,California Other,,,Backhouse 2009 Cabernet Sauvignon (California),Cabernet Sauvignon,Backhouse
29190,Italy,"Here's an informal sparkler made with the Aglianico grape. The simple, fresh palate offers crunchy cherry, strawberry and pink grapefruit alongside bright acidity and vigorous, aggressive bubbles.",Jacarando Rosé Extra Brut,85,6,Southern Italy,Irpinia,,Kerin O’Keefe,@kerinokeefe,Sanpaolo 2012 Jacarando Rosé Extra Brut Aglianico (Irpinia),Aglianico,Sanpaolo
30310,US,Aromas of ripe apple and poached pear are accented by spice. It drinks medium sweet with mandarin-orange flavors that linger.,,85,6,Washington,Washington,Washington Other,Sean P. Sullivan,@wawinereport,Two Vines 2013 Riesling (Washington),Riesling,Two Vines
32572,Spain,"Savory, gritty raspberry and currant aromas are earthy, with a suggestion of Band-Aid. This Syrah-Garnacha blend feels rubbery and tannic, with a downward pull. Roasted red-berry and plum flavors finish with a note of grilled meat.",Joven,86,6,Northern Spain,Somontano,,Michael Schachner,@wineschach,Bodega Otto Bestué 2015 Joven Syrah-Grenache (Somontano),Syrah-Grenache,Bodega Otto Bestué
32942,US,"Sharp, spicy, tastes of apples, with plenty of flesh. Ripe and straightforward, showing none of the sugar, vanilla and excessive oak chip flavors of most cheap Chardonnays. Solid winemaking, juicy acids, and a fine food wine for six bucks.",,87,6,Washington,Washington,Washington Other,Paul Gregutt,@paulgwine ,Pine & Post 2006 Chardonnay (Washington),Chardonnay,Pine & Post
33362,Germany,"Refreshingly quaffable, this off-dry Riesling juxtaposes juicy, sweet melon and peach flavors with fresh tangerine acidity. The finish is brisk, fringed with a delicious bristle of lime pith.",Kabinett,87,6,Mosel,,,Anna Lee C. Iijima,,Johannes Kunz 2013 Kabinett Riesling (Mosel),Riesling,Johannes Kunz
34501,Chile,"Neutral aromas, sour apple and citrus flavors, a spritzy mouthfeel and soda-like on the finish. Unsophisticated to a fault.",,80,6,Curicó Valley,,,Michael Schachner,@wineschach,Quasar 2009 Chardonnay (Curicó Valley),Chardonnay,Quasar
39949,Italy,"Though young in age, this has a light brown tinge and an orange-peel edge to its berry and herb aromas and flavors. There's a touch of soy and leather for complexity, and an even finish, but not the life or verve that makes us enthusiastic.",,82,6,Tuscany,Chianti,,,,Piccini 1999  Chianti,Sangiovese,Piccini
